Species               Population
--------------------------------------------------------------------------------------------------
O2[19.394655%]
 O2(X)                9.47711102681790e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             5.20856348422860e-02
 O2(b1Sg+)            1.90541648036746e-04
 O2(A3Su+_C3Du_c1Su-) 1.27208278876533e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[14.028941%]
 O(3P)                9.99922093556991e-01
 O(1D)                7.79064430087885e-05
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[13.758491%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[52.817913%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99927103520598e-01
 | | CO(X,v=0,J=0)    | | 9.12280325908151e-03
 | | CO(X,v=0,J=1)    | | 2.69025388180252e-02
 | | CO(X,v=0,J=2)    | | 4.33240872964227e-02
 | | CO(X,v=0,J=3)    | | 5.76087652329760e-02
 | | CO(X,v=0,J=4)    | | 6.91524940648740e-02
 | | CO(X,v=0,J=5)    | | 7.75669184994358e-02
 | | CO(X,v=0,J=6)    | | 8.26969368841184e-02
 | | CO(X,v=0,J=7)    | | 8.46141996574385e-02
 | | CO(X,v=0,J=8)    | | 8.35892708546653e-02
 | | CO(X,v=0,J=9)    | | 8.00476419785776e-02
 | | CO(X,v=0,J=10)   | | 7.45162972531097e-02
 | | CO(X,v=0,J=11)   | | 6.75679185105571e-02
 | | CO(X,v=0,J=12)   | | 5.97691594754790e-02
 | | CO(X,v=0,J=13)   | | 5.16379559135868e-02
 | | CO(X,v=0,J=14)   | | 4.36129152554129e-02
 | | CO(X,v=0,J=15)   | | 3.60358157627161e-02
 | | CO(X,v=0,J=16)   | | 2.91464624452473e-02
 | | CO(X,v=0,J=17)   | | 2.30878188382761e-02
 | CO(X,v=1)          | 7.28904990920723e-05
 | CO(X,v=2)          | 5.97975811313671e-09
 | CO(X,v=3)          | 5.52085598851617e-13
 | CO(X,v=4)          | 5.73639871585491e-17
 | CO(X,v=5)          | 6.70783467644513e-21
 | CO(X,v=6)          | 8.82745434049569e-25
 | CO(X,v=7)          | 1.30737061287159e-28
 | CO(X,v=8)          | 2.17907444029143e-32
 | CO(X,v=9)          | 4.08747889981431e-36
 | CO(X,v=10)         | 8.62877391644319e-40
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
